wikidata,legislature,name,website,statistical-geography,toid,start-date,end-date
Q73072667,Q21561306,Malvern Hills District Council,https://www.malvernhills.gov.uk,,,,
Q2302252,Q19414242,Manchester City Council,https://www.manchester.gov.uk,,,,
Q73072669,Q21561306,Mansfield District Council,https://www.mansfield.gov.uk,,,,
Q16997526,Q21561328,Medway Council,https://www.medway.gov.uk,,,,
Q73072672,Q21561306,Melton Borough Council,https://www.melton.gov.uk,,,,
Q73072673,Q21561306,Mendip District Council,https://www.mendip.gov.uk,,,,
Q20714038,Q4321471,Merionethshire County Council,,,,,1974-01-01T00:00:00Z
Q6820723,Q21561350,Merton London Borough Council,https://www.merton.gov.uk,,,,
Q73072676,Q21561306,Mid Devon District Council,https://www.middevon.gov.uk,,,,
Q65063871,Q4321471,Mid Glamorgan County Council,,,,1974-04-01T00:00:00Z,1996-04-01T00:00:00Z
Q73072678,Q21561306,Mid Suffolk District Council,https://www.midsuffolk.gov.uk,,,,
Q73072679,Q21561306,Mid Sussex District Council,https://www.midsussex.gov.uk,,,,
Q6841843,Q21561328,Middlesbrough Council,https://www.middlesbrough.gov.uk,,,,
Q16997843,Q21561328,Milton Keynes Council,https://www.milton-keynes.gov.uk/,,,,
Q73072681,Q21561306,Mole Valley District Council,https://www.molevalley.gov.uk,,,,
Q61810469,Q4321471,Montgomery County Council,https://www.montgomerycountymd.gov/council/,,,1949-01-01T00:00:00Z,
Q73072682,Q21561306,New Forest District Council,https://www.newforestdc.gov.uk,,,,
Q72617158,Q3336962,New Forest National Park Authority,https://www.newforestnpa.gov.uk,E26000009,,,
Q73072684,Q21561306,Newark and Sherwood District Council,https://www.newark-sherwooddc.gov.uk,,,,
Q16998823,Q19414242,Newcastle City Council,https://www.newcastle.gov.uk,,,,
Q73072687,Q21561306,Newcastle-under-Lyme Borough Council,https://www.newcastle-staffs.gov.uk,,,,
Q7018141,Q21561350,Newham London Borough Council,https://www.newham.gov.uk,,,,
Q6386227,Q4321471,Norfolk County Council,https://www.norfolk.gov.uk,,,,
Q7055115,Q21561306,North Devon Council,https://www.northdevon.gov.uk,,,,
Q73072691,Q21561306,North Dorset District Council,,,,,2019-04-01T00:00:00Z
Q16986408,Q5150900,North East Combined Authority,https://northeastca.gov.uk/,,,,
Q73072692,Q21561306,North East Derbyshire District Council,https://www.ne-derbyshire.gov.uk,,,,
Q17016820,Q21561328,North East Lincolnshire Council,https://www.nelincs.gov.uk,,,,
Q7055592,Q21561306,North Hertfordshire District Council,https://www.north-herts.gov.uk,,,,
Q28401189,Q21561306,North Kesteven District Council,https://www.n-kesteven.gov.uk,,,,
Q17016863,Q21561328,North Lincolnshire Council,https://www.northlincs.gov.uk,,,,
Q73072695,Q21561306,North Norfolk District Council,https://www.northnorfolk.org/,,,,
Q17016922,Q21561328,North Somerset Council,https://www.n-somerset.gov.uk,,,,
Q17017005,Q19414242,North Tyneside Council,https://www.northtyneside.gov.uk,,,,
Q73072698,Q21561306,North Warwickshire Borough Council,https://www.northwarks.gov.uk,,,,
Q73072699,Q21561306,North West Leicestershire District Council,https://www.nwleics.gov.uk,,,,
Q72617669,Q3336962,North York Moors National Park Authority,https://www.northyorkmoors.org.uk,E26000005,,,
Q17017103,Q4321471,North Yorkshire County Council,https://www.northyorks.gov.uk,,,,
Q55136954,Q5150900,North of Tyne Combined Authority,,,,,
Q73072702,Q21561306,Northampton Borough Council,https://www.northampton.gov.uk,,,,
Q14942414,Q4321471,Northamptonshire County Council,https://www.northamptonshire.gov.uk,,,,
Q6386521,Q21561328,Northumberland County Council,https://www.northumberland.gov.uk,,,,
Q72617890,Q3336962,Northumberland National Park Authority,https://www.northumberlandnationalpark.org.uk,E26000004,,,
Q17012769,Q21561306,Norwich City Council,https://www.norwich.gov.uk,,,,
Q7063612,Q21561328,Nottingham City Council,https://www.nottinghamcity.gov.uk,,,,
Q16934215,Q4321471,Nottinghamshire County Council,https://www.nottinghamshire.gov.uk,,,,
Q73072703,Q21561306,Nuneaton and Bedworth Borough Council,https://www.nuneatonandbedworth.gov.uk,,,,
Q73072704,Q21561306,Oadby and Wigston Borough Council,https://oadby-wigston.gov.uk,,,,
Q20648596,Q5266682,Old Oak and Park Royal Development Corporation,https://www.london.gov.uk/about-us/organisations-we-work/old-oak-and-park-royal-development-corporation-opdc,E51000002,,2015-04-01T00:00:00Z,
Q17017730,Q19414242,Oldham Council,https://www.oldham.gov.uk,,,,
Q7115277,Q21561306,Oxford City Council,https://www.oxford.gov.uk,,,,
Q6386253,Q4321471,Oxfordshire County Council,https://www.oxfordshire.gov.uk,,,,
Q72617988,Q3336962,Peak District National Park Authority,https://www.peakdistrict.gov.uk,E26000006,,,
Q7162423,Q21561306,Pendle Borough Council,https://www.pendle.gov.uk,,,,
Q6664413,Q21561328,Peterborough City Council,https://www.peterborough.gov.uk,,,,
Q7205775,Q21561328,Plymouth City Council,https://www.plymouth.gov.uk,,,,
Q7228609,Q21561328,Poole Borough Council,https://www.boroughofpoole.com,,,,
Q17104656,Q21561328,Portsmouth City Council,https://www.portsmouth.gov.uk,,,,
Q7236943,Q4321471,Powys County Council,http://www.powys.gov.uk/,,,,
Q65089357,Q21561306,Preston City Council,https://www.preston.gov.uk,,,,
Q73072707,Q21561306,Purbeck District Council,,,,,2019-04-01T00:00:00Z
Q17018654,Q21561328,Reading Borough Council,http://www.reading.gov.uk,,,,
Q7305508,Q21561350,Redbridge London Borough Council,https://www.redbridge.gov.uk,,,,
Q17019415,Q21561328,Redcar and Cleveland Borough Council,https://www.redcar-cleveland.gov.uk,,,,
Q14978996,Q21561306,Redditch Borough Council,https://www.redditchbc.gov.uk,,,,
Q73072709,Q21561306,Reigate and Banstead Borough Council,https://www.reigate-banstead.gov.uk,,,,
Q73072712,Q21561306,Ribble Valley Borough Council,https://www.ribblevalley.gov.uk,,,,
Q7331065,Q21561350,Richmond upon Thames London Borough Council,https://www.richmond.gov.uk,,,,
Q73072715,Q21561306,Richmondshire District Council,https://richmondshire.gov.uk,,,,
Q17019804,Q19414242,Rochdale Metropolitan Borough Council,https://www.rochdale.gov.uk,,,,
Q73072717,Q21561306,Rochford District Council,https://www.rochford.gov.uk,,,,
Q7369771,Q21561306,Rossendale Borough Council,https://www.rossendale.gov.uk,,,,
Q73072720,Q21561306,Rother District Council,https://www.rother.gov.uk,,,,
Q17020059,Q19414242,Rotherham Metropolitan Borough Council,https://www.rotherham.gov.uk,,,,
Q73072725,Q21561306,Rugby Borough Council,https://www.rugby.gov.uk,,,,
Q73072726,Q21561306,Runnymede Borough Council,https://www.runnymede.gov.uk,,,,
Q73072729,Q21561306,Rushcliffe Borough Council,https://www.rushcliffe.gov.uk,,,,
Q73072730,Q21561306,Rushmoor Borough Council,https://www.rushmoor.gov.uk,,,,
