index-entry-number,entry-number,entry-timestamp,key,local-authority-eng,local-authority-type,name,official-name,start-date,end-date
149,149,2016-10-21T16:11:20Z,TEN,TEN,NMD,Tendring,"Tendring District Council",,
148,148,2016-10-21T16:11:20Z,ROC,ROC,NMD,Rochford,"Rochford District Council",,
147,147,2016-10-21T16:11:20Z,MAL,MAL,NMD,Maldon,"Maldon District Council",,
146,146,2016-10-21T16:11:20Z,HAR,HAR,NMD,Harlow,"Harlow District Council",,
145,145,2016-10-21T16:11:20Z,EPP,EPP,NMD,"Epping Forest","Epping Forest District Council",,
144,144,2016-10-21T16:11:20Z,COL,COL,NMD,Colchester,"Colchester Borough Council",,
143,143,2016-10-21T16:11:20Z,CHL,CHL,NMD,Chelmsford,"Chelmsford City Council",,
142,142,2016-10-21T16:11:20Z,CAS,CAS,NMD,"Castle Point","Castle Point Borough Council",,
141,141,2016-10-21T16:11:20Z,BRW,BRW,NMD,Brentwood,"Brentwood Borough Council",,
140,140,2016-10-21T16:11:20Z,BRA,BRA,NMD,Braintree,"Braintree District Council",,
139,139,2016-10-21T16:11:20Z,BAI,BAI,NMD,Basildon,"Basildon Borough Council",,
138,138,2016-10-21T16:11:20Z,ESS,ESS,CTY,Essex,"Essex County Council",,
130,130,2016-10-21T16:11:20Z,WDE,WDE,NMD,"West Devon","West Devon Borough Council",,
129,129,2016-10-21T16:11:20Z,TOR,TOR,NMD,Torridge,"Torridge District Council",,
128,128,2016-10-21T16:11:20Z,TEI,TEI,NMD,Teignbridge,"Teignbridge District Council",,
127,127,2016-10-21T16:11:20Z,SHA,SHA,NMD,"South Hams","South Hams District Council",,
126,126,2016-10-21T16:11:20Z,NDE,NDE,NMD,"North Devon","North Devon District Council",,
125,125,2016-10-21T16:11:20Z,MDE,MDE,NMD,"Mid Devon","Mid Devon District Council",,
124,124,2016-10-21T16:11:20Z,EXE,EXE,NMD,Exeter,"Exeter City Council",,
123,123,2016-10-21T16:11:20Z,EDE,EDE,NMD,"East Devon","East Devon District Council",,
122,122,2016-10-21T16:11:20Z,DEV,DEV,CTY,Devon,"Devon County Council",,
121,121,2016-10-21T16:11:20Z,SDE,SDE,NMD,"South Derbyshire","South Derbyshire District Council",,
120,120,2016-10-21T16:11:20Z,NED,NED,NMD,"North East Derbyshire","North East Derbyshire District Council",,
119,119,2016-10-21T16:11:20Z,HIG,HIG,NMD,"High Peak","High Peak Borough Council",,
118,118,2016-10-21T16:11:20Z,ERE,ERE,NMD,Erewash,"Erewash Borough Council",,
117,117,2016-10-21T16:11:20Z,DEB,DEB,NMD,"Derbyshire Dales","Derbyshire Dales District Council",,
116,116,2016-10-21T16:11:20Z,CHS,CHS,NMD,Chesterfield,"Chesterfield Borough Council",,
115,115,2016-10-21T16:11:20Z,BOS,BOS,NMD,Bolsover,"Bolsover District Council",,
114,114,2016-10-21T16:11:20Z,AMB,AMB,NMD,"Amber Valley","Amber Valley Borough Council",,
