statistical-geography,boundary
E07000126,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000126/index.geojson
E07000127,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000127/index.geojson
E07000128,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000128/index.geojson
E07000129,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000129/index.geojson
E07000130,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000130/index.geojson
E07000131,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000131/index.geojson
E07000132,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000132/index.geojson
E07000133,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000133/index.geojson
E07000134,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000134/index.geojson
E07000135,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000135/index.geojson
E07000136,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000136/index.geojson
E07000137,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000137/index.geojson
E07000138,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000138/index.geojson
E07000139,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000139/index.geojson
E07000140,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000140/index.geojson
E07000141,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000141/index.geojson
E07000142,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000142/index.geojson
E07000143,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000143/index.geojson
E07000144,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000144/index.geojson
E07000145,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000145/index.geojson
E07000146,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000146/index.geojson
E07000147,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000147/index.geojson
E07000148,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000148/index.geojson
E07000149,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000149/index.geojson
E07000150,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000150/index.geojson
E07000151,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000151/index.geojson
E07000152,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000152/index.geojson
E07000153,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000153/index.geojson
E07000154,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000154/index.geojson
E07000155,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000155/index.geojson
E07000156,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000156/index.geojson
E07000163,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000163/index.geojson
E07000164,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000164/index.geojson
E07000165,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000165/index.geojson
E07000166,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000166/index.geojson
E07000167,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000167/index.geojson
E07000168,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000168/index.geojson
E07000169,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000169/index.geojson
E07000170,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000170/index.geojson
E07000171,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000171/index.geojson
E07000172,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000172/index.geojson
E07000173,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000173/index.geojson
E07000174,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000174/index.geojson
E07000175,https://raw.githubusercontent.com/digital-land/boundary-collection/master/collection/local-authority/E07000175/index.geojson
